SiteId,Year,Month,DayNumber,DayOfWeek,FlowValue,LargeVehiclePercentage
7090,2023,June,1,Thur,45169,18
7090,2023,June,2,Fri,55387,13.5
7090,2023,June,3,Sat,39008,9
7090,2023,June,4,Sun,38505,7.9
7090,2023,June,5,Mon,40455,17.8
7090,2023,June,6,Tue,36535,21.9
7090,2023,June,7,Wed,37289,21.8
7090,2023,June,8,Thur,7713,38.1
7090,2023,June,9,Fri,NA,NA
7090,2023,June,10,Sat,38745,8
7090,2023,June,11,Sun,35931,7.9
7090,2023,June,12,Mon,41979,17.2
7090,2023,June,13,Tue,35694,21.7
7090,2023,June,14,Wed,37944,21.3
7090,2023,June,15,Thur,40817,19.8
7090,2023,June,16,Fri,54440,14.4
7090,2023,June,17,Sat,37410,8.6
7090,2023,June,18,Sun,34648,8.2
7090,2023,June,19,Mon,40042,18.1
7090,2023,June,20,Tue,35541,22.5
7090,2023,June,21,Wed,37873,21.3
7090,2023,June,22,Thur,40789,19.7
7090,2023,June,23,Fri,53342,14
7090,2023,June,24,Sat,37468,8.9
7090,2023,June,25,Sun,34995,8.3
7090,2023,June,26,Mon,41100,17.9
7090,2023,June,27,Tue,35973,22.6
7090,2023,June,28,Wed,36111,22.3
7090,2023,June,29,Thur,41124,19.5
7090,2023,June,30,Fri,50727,14.6
